Features,25%,50%,75%,count,max,mean,min,stddev,21436,dtypes,num_nan
bathrooms,1.75,2.25,2.5,21613,8.0,2.1147573219821405,0.0,0.770163157217741,30,double,0
bedrooms,3,3,4,21613,33,3.37084162309721,0,0.930061831147451,13,int,0
condition,3,3,4,21613,5,3.4094295100171195,1,0.6507430463662044,5,int,0
date,"","","",21613,20150527T000000,"",20140502T000000,"",372,string,0
floors,1.0,1.5,2.0,21613,3.5,1.4943089807060566,1.0,0.5399888951423489,6,double,0
grade,7,7,8,21613,13,7.656873178179799,1,1.1754587569743344,12,int,0
id,2123049175,3904921250,7308600050,21613,9900000190,4.580301520864988E9,1000102,2.8765655713120522E9,21436,bigint,0
lat,47.4709,47.5718,47.678,21613,47.7776,47.56005251931704,47.1559,0.13856371024192368,5034,double,0
long,-122.328,-122.231,-122.125,21613,-121.315,-122.21389640494083,-122.519,0.14082834238139288,752,double,0
price,321500.0,450000.0,645000.0,21613,7700000.0,540088.1417665294,75000.0,367127.19648270035,4028,double,0
sqft_above,1190,1560,2210,21613,9410,1788.3906907879516,290,828.0909776519175,946,int,0
sqft_basement,0,0,560,21613,4820,291.5090454818859,0,442.57504267746685,306,int,0
sqft_living,1425,1910,2550,21613,13540,2079.8997362698374,290,918.4408970468096,1038,int,0
sqft_living15,1490,1840,2360,21613,6210,1986.552491556008,399,685.3913042527788,777,int,0
sqft_lot,5040,7617,10685,21613,1651359,15106.967565816869,520,41420.51151513551,9782,int,0
sqft_lot15,5100,7620,10083,21613,871200,12768.455651691113,651,27304.179631338524,8689,int,0
summary,25%,50%,75%,count,max,mean,min,stddev,"","",""
view,0,0,0,21613,4,0.23430342849211122,0,0.7663175692736114,5,int,0
waterfront,0,0,0,21613,1,0.007541757275713691,0,0.08651719772788748,2,int,0
yr_built,1951,1975,1997,21613,2015,1971.0051357978994,1900,29.373410802386243,116,int,0
yr_renovated,0,0,0,21613,2015,84.40225790033776,0,401.67924001917504,70,int,0
zipcode,98033,98065,98118,21613,98199,98077.93980474715,98001,53.505026257472466,70,int,0
